classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.22216666666666665, 0.33216666666666667, 0.33216666666666667, 0.3315, 0.6625000000000001]",0.22216666666666665,0.3761,0.14937862408434932,0.6222222222222222,12.6,0.21000000000000002,9.276932430267333
svc,"[0.11200000000000004, 0.11083333333333338, 0.4416666666666666, 0.4428333333333333, 0.4416666666666666]",0.11083333333333338,0.3098,0.1619802937259824,0.6888888888888888,10.8,0.18,16.527623414993286
