classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,parkinsons,fa,0.004,0.227,0.122,0.775,10.2,0.464,1.224
svc,parkinsons,fa,0.128,0.302,0.126,0.7,10.0,0.455,1.181
knn,parkinsons,da,0.009,0.204,0.126,0.8,14.0,0.636,5.811
svc,parkinsons,da,0.127,0.255,0.158,0.75,16.2,0.736,6.576
knn,parkinsons,pso,0.001,0.199,0.126,0.8,2.4,0.109,5.143
svc,parkinsons,pso,0.001,0.199,0.126,0.8,2.0,0.091,6.03
knn,parkinsons,goa,0.004,0.201,0.167,0.8,7.6,0.345,6.331
svc,parkinsons,goa,0.126,0.176,0.061,0.825,6.0,0.273,6.823
knn,parkinsons,woa,0.003,0.176,0.099,0.825,6.8,0.309,6.236
svc,parkinsons,woa,0.003,0.201,0.127,0.8,6.0,0.273,6.889
knn,parkinsons,de,0.25,0.375,0.157,0.625,7.4,0.336,5.801
svc,parkinsons,de,0.127,0.275,0.092,0.725,6.4,0.291,6.603
knn,parkinsons,aco,0.124,0.273,0.093,0.725,2.4,0.109,6.181
svc,parkinsons,aco,0.124,0.223,0.093,0.775,1.2,0.055,6.762
knn,parkinsons,cs,0.003,0.079,0.1,0.925,11.4,0.518,7.142
svc,parkinsons,cs,0.126,0.226,0.144,0.775,7.0,0.318,8.389
knn,parkinsons,ga,0.125,0.298,0.126,0.7,2.4,0.109,9.331
svc,parkinsons,ga,0.0,0.223,0.121,0.775,1.4,0.064,11.008
knn,parkinsons,ba,0.005,0.104,0.049,0.9,10.4,0.473,10.181
svc,parkinsons,ba,0.126,0.301,0.168,0.7,8.0,0.364,12.144
knn,parkinsons,gwo,0.001,0.199,0.126,0.8,2.8,0.127,19.866
svc,parkinsons,gwo,0.125,0.248,0.078,0.75,1.6,0.073,23.277
knn,parkinsons,abco,0.005,0.252,0.175,0.75,8.8,0.4,32.451
svc,parkinsons,abco,0.002,0.127,0.078,0.875,6.8,0.309,38.884
knn,wine,fa,0.003,0.107,0.094,0.896,6.2,0.477,1.581
svc,wine,fa,0.128,0.241,0.108,0.761,5.4,0.415,1.284
knn,wine,goa,0.002,0.18,0.229,0.821,3.8,0.292,8.99
svc,wine,goa,0.126,0.459,0.349,0.539,3.6,0.277,6.725
knn,wine,woa,0.002,0.215,0.223,0.786,4.0,0.308,8.771
svc,wine,woa,0.002,0.367,0.247,0.632,4.2,0.323,6.486
knn,wine,pso,0.129,0.184,0.055,0.818,4.4,0.338,8.42
svc,wine,pso,0.125,0.459,0.242,0.539,3.8,0.292,6.101
knn,wine,aco,0.002,0.189,0.21,0.811,2.6,0.2,8.681
svc,wine,aco,0.125,0.402,0.324,0.596,2.8,0.215,6.59
knn,wine,de,0.002,0.134,0.079,0.868,3.8,0.292,8.773
svc,wine,de,0.002,0.379,0.313,0.621,5.0,0.385,6.514
knn,wine,da,0.004,0.229,0.231,0.775,8.0,0.615,9.068
svc,wine,da,0.006,0.263,0.205,0.739,6.0,0.462,6.461
