optimizer,avg
ga,0.24650000000000002
gwo,0.24733333333333332
fa,0.25125000000000003
de,0.26008333333333333
goa,0.26416666666666666
pso,0.27441666666666664
woa,0.2745
cs,0.2768333333333333
abco,0.28691666666666665
da,0.29241666666666666
dummy,0.298
aco,0.30266666666666664
ba,0.31808333333333333
