classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.00923076923076924, 0.5042307692307693, 0.25673076923076926, 0.43428571428571433, 0.29285714285714287]",0.00923076923076924,0.29946703296703303,0.17100376147569354,0.7071428571428571,12.4,0.9538461538461538,9.37567720413208
svc,"[0.13221153846153846, 0.7517307692307692, 0.37971153846153843, 0.574945054945055, 0.43197802197802204]",0.13221153846153846,0.4541153846153846,0.20631180659739398,0.55,11.2,0.8615384615384615,6.811815357208252
