classifier,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,0.1278409090909091,0.3270227272727273,0.16821291788623624,0.675,11.6,0.5272727272727272,2.181415891647339
svc,0.00454545454545455,0.30172727272727273,0.16787720263719327,0.7,10.4,0.4727272727272728,0.9286342620849609
