classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.1997647058823529, 0.0020588235294117666, 0.21537815126050422, 0.21478991596638658, 0.07424369747899158]",0.0020588235294117666,0.14124705882352945,0.08739691183982691,0.86,9.0,0.2647058823529412,5.759486961364746
svc,"[0.3326470588235294, 0.07277310924369745, 0.1440756302521009, 0.14348739495798327, 0.0026470588235294142]",0.0026470588235294142,0.1391260504201681,0.11002102372742002,0.8619047619047621,8.2,0.24117647058823527,10.041642141342162
