classifier,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,0.22116666666666665,0.35350000000000004,0.08249693597003734,0.6444444444444445,9.0,0.15,1062.1421702861785
svc,0.331,0.4630666666666666,0.12841246910725695,0.5333333333333334,6.4,0.10666666666666666,147.51153602600098
