classifier,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,0.0025000000000000022,0.06849999999999998,0.08083316151184486,0.9333333333333333,1.0,0.25,4.518524646759033
svc,0.0025000000000000022,0.13499999999999995,0.06625707509390977,0.8666666666666668,1.2,0.3,2.3961691856384277
