classifier,best,avg,std_dev,acc,n_features,execution_time
knn,0.14714285714285721,0.3055714285714286,0.12316025730564154,0.7,6.0,583.6822493076324
svc,0.14714285714285721,0.21842857142857147,0.06392661609140558,0.7857142857142857,4.4,234.2833243370056
