classifier,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,0.07424369747899158,0.2286941176470588,0.11525526963908292,0.7733333333333333,14.6,0.4294117647058823,4.435872030258179
svc,0.003235294117647062,0.0600420168067227,0.08225491078433711,0.9428571428571428,11.8,0.34705882352941175,5.561724662780762
