classifier,best,avg,std_dev,acc,n_features,execution_time
knn,0.0025000000000000022,0.10300000000000001,0.19725237641154034,0.9,1.6,1203.87755484581
svc,0.0025000000000000022,0.10200000000000001,0.1316282644419503,0.9,1.2,392.30265774726865
