classifier,best,avg,std_dev,acc,n_features,execution_time
knn,0.125,0.125,0.0,1.0,1.0,5.957476949691772
svc,0.125,0.14166666666666666,0.033333333333333326,0.9666666666666668,1.0,4.257658958435059
