classifier,best,avg,std_dev,acc,n_features,execution_time
knn,0.002307692307692309,0.11191483516483518,0.10494421048506686,0.8892857142857142,3.0,506.312898683548
svc,0.002307692307692309,0.08347527472527476,0.06661451651955394,0.9178571428571429,2.8,146.72217025756837
