classifier,best,avg,std_dev,acc,n_features,execution_time
knn,0.25305555555555553,0.31927777777777777,0.033143719960793586,0.6833333333333332,5.2,653.828086900711
svc,0.33222222222222225,0.3685555555555555,0.06492122481976727,0.6333333333333332,5.0,255.43147745132447
