classifier,best,avg,std_dev,acc,n_features,execution_time
knn,0.0025000000000000022,0.1025,0.08165476103694135,0.9,1.4,440.16956224441526
svc,0.0025000000000000022,0.1365,0.16208485432019862,0.8666666666666666,1.8,128.01605310440064
