classifier,best,avg,std_dev,acc,n_features,execution_time
knn,0.002307692307692309,0.13359065934065936,0.07873959257703944,0.8678571428571429,3.6,393.45377016067505
svc,0.14296703296703303,0.25672527472527473,0.10335346106980096,0.7428571428571429,2.8,122.25344791412354
