classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.13557692307692307, 0.2403846153846154, 0.3528846153846154, 0.015384615384615382, 0.030769230769230764]",0.015384615384615382,0.155,0.12786856463762003,0.85,2.6,0.2,32.796427726745605
svc,"[0.2403846153846154, 0.015384615384615382, 0.6980769230769232, 0.2725274725274725, 0.6736263736263737]",0.015384615384615382,0.38,0.2650949093301935,0.6,2.6,0.2,23.830462980270386
