classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,wine,cs,0.125,0.158,0.047,0.843,3.2,0.246,11.928
svc,wine,cs,0.002,0.347,0.261,0.654,4.6,0.354,8.526
knn,wine,ba,0.005,0.242,0.219,0.761,6.4,0.492,16.772
svc,wine,ba,0.126,0.559,0.284,0.439,5.4,0.415,12.377
knn,wine,gwo,0.002,0.08,0.064,0.921,2.6,0.2,32.675
svc,wine,gwo,0.002,0.405,0.251,0.593,3.0,0.231,23.025
knn,wine,abco,0.002,0.162,0.101,0.839,3.8,0.292,54.39
svc,wine,abco,0.147,0.439,0.223,0.561,5.4,0.415,39.661
knn,ionosphere,fa,0.076,0.235,0.131,0.772,32.0,0.941,0.737
svc,ionosphere,fa,0.009,0.135,0.094,0.873,31.8,0.935,1.028
knn,ionosphere,pso,0.134,0.242,0.075,0.759,13.0,0.382,5.564
svc,ionosphere,pso,0.003,0.211,0.144,0.79,10.8,0.318,9.958
knn,ionosphere,da,0.151,0.288,0.119,0.718,31.2,0.918,6.311
svc,ionosphere,da,0.008,0.158,0.142,0.849,27.4,0.806,10.548
knn,ionosphere,de,0.134,0.199,0.055,0.802,9.8,0.288,5.83
svc,ionosphere,de,0.002,0.058,0.028,0.944,8.2,0.241,10.086
knn,ionosphere,goa,0.08,0.19,0.095,0.817,31.6,0.929,7.261
svc,ionosphere,goa,0.079,0.162,0.067,0.846,30.8,0.906,11.205
knn,ionosphere,woa,0.072,0.195,0.107,0.805,6.4,0.188,6.739
svc,ionosphere,woa,0.072,0.18,0.108,0.819,4.2,0.124,11.257
knn,ionosphere,cs,0.071,0.195,0.087,0.805,4.8,0.141,7.428
svc,ionosphere,cs,0.072,0.183,0.114,0.818,10.8,0.318,13.698
knn,ionosphere,ba,0.147,0.243,0.074,0.76,19.6,0.576,10.367
svc,ionosphere,ba,0.004,0.129,0.099,0.875,17.2,0.506,19.382
knn,ionosphere,gwo,0.001,0.156,0.138,0.844,3.4,0.1,21.434
svc,ionosphere,gwo,0.072,0.154,0.112,0.846,3.8,0.112,39.703
knn,ionosphere,abco,0.075,0.2,0.082,0.803,15.2,0.447,34.268
svc,ionosphere,abco,0.004,0.087,0.05,0.916,12.6,0.371,63.34
knn,sonar,fa,0.229,0.384,0.112,0.622,57.4,0.957,0.835
svc,sonar,fa,0.12,0.339,0.12,0.667,55.8,0.93,1.005
knn,sonar,pso,0.113,0.312,0.176,0.689,23.0,0.383,5.374
svc,sonar,pso,0.333,0.466,0.161,0.533,26.4,0.44,8.905
knn,sonar,de,0.223,0.4,0.112,0.6,23.6,0.393,5.83
svc,sonar,de,0.333,0.421,0.082,0.578,19.8,0.33,8.752
knn,sonar,da,0.23,0.449,0.121,0.556,56.8,0.947,6.119
svc,sonar,da,0.229,0.493,0.275,0.511,55.8,0.93,10.053
knn,sonar,woa,0.221,0.595,0.192,0.4,7.2,0.12,7.558
svc,sonar,woa,0.331,0.441,0.098,0.556,8.6,0.143,10.946
knn,sonar,goa,0.339,0.537,0.108,0.467,56.6,0.943,7.778
svc,sonar,goa,0.009,0.383,0.237,0.622,55.6,0.927,11.497
knn,sonar,cs,0.334,0.444,0.098,0.556,21.4,0.357,7.828
svc,sonar,cs,0.225,0.378,0.148,0.622,24.8,0.413,13.284
knn,sonar,ba,0.227,0.359,0.082,0.644,39.4,0.657,10.177
svc,sonar,ba,0.225,0.336,0.07,0.667,35.4,0.59,17.877
knn,sonar,gwo,0.331,0.376,0.088,0.622,9.2,0.153,21.689
svc,sonar,gwo,0.221,0.375,0.149,0.622,7.6,0.127,35.165
knn,sonar,abco,0.114,0.378,0.179,0.622,27.0,0.45,32.655
