optimizer,avg
de,0.2344166666666667
ba,0.23908333333333331
gwo,0.24416666666666667
abco,0.25025000000000003
woa,0.2514166666666667
pso,0.2614166666666667
fa,0.27166666666666667
ga,0.27258333333333334
cs,0.2803333333333333
goa,0.28125
da,0.3060833333333333
