classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.024999999999999994, 0.024999999999999994, 0.024999999999999994, 0.17499999999999996, 0.024999999999999994]",0.024999999999999994,0.05499999999999998,0.059999999999999984,0.9666666666666668,1.0,0.25,7.651463270187378
svc,"[0.024999999999999994, 0.17499999999999996, 0.475, 0.024999999999999994, 0.6500000000000001]",0.024999999999999994,0.27,0.25119713374160946,0.7333333333333334,1.2,0.3,5.020713758468628
