classifier,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,0.0025000000000000022,0.13449999999999998,0.12347469376354007,0.8666666666666668,1.0,0.25,156.78288440704347
svc,0.0025000000000000022,0.03599999999999999,0.06575712889109436,0.9666666666666668,1.2,0.3,78.06053280830383
