classifier,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,0.0025000000000000022,0.1025,0.13250471689717316,0.9,1.4,0.35,3.0639508247375487
svc,0.0025000000000000022,0.07,0.135,0.9333333333333333,1.6,0.4,2.4355818748474123
