classifier,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,0.0025000000000000022,0.0025000000000000022,0.0,1.0,1.0,0.25,39.49366455078125
svc,0.0025000000000000022,0.13449999999999998,0.19242141252989492,0.8666666666666668,1.0,0.25,20.79226517677307
