classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.17500000000000002, 0.32499999999999996, 0.32499999999999996, 0.3888888888888889, 0.6777777777777778, 0.3138888888888889, 0.46388888888888885, 0.3888888888888889, 0.5277777777777778, 0.3138888888888889]",0.17500000000000002,0.39,0.13172759959031807,0.6666666666666666,8.1,0.9,2.0908416986465452
svc,"[0.30277777777777776, 0.24999999999999994, 0.3666666666666667, 0.24999999999999994, 0.3888888888888889, 0.475, 0.3888888888888889, 0.30277777777777776, 0.24999999999999994, 0.475]",0.24999999999999994,0.345,0.08292306414925366,0.7166666666666666,8.1,0.9,1.6064204692840576
