classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.21259740259740262, 0.14188311688311694, 0.28353896103896103, 0.2833116883116883, 0.21259740259740262]",0.14188311688311694,0.22678571428571428,0.05296637457756929,0.7714285714285715,2.2,0.05,8.306470680236817
svc,"[0.4242857142857143, 0.1414285714285715, 0.28285714285714286, 0.4242857142857143, 0.35357142857142854]",0.1414285714285715,0.32528571428571434,0.10583545179732005,0.6714285714285715,0.0,0.0,14.354223442077636
64416885375977
