classifier,all_fitness,best,avg,std_dev,acc,n_features,selected_rate,execution_time
knn,"[0.0960869565217392, 0.007666666666666674, 0.13813043478260872, 0.0950869565217392, 0.051376811594202876]",0.007666666666666674,0.07766956521739134,0.04447425608030158,0.9304347826086957,26.4,0.8799999999999999,6.678551721572876
svc,"[0.051376811594202876, 0.04871014492753621, 0.050376811594202875, 0.09475362318840586, 0.39639130434782605]",0.04871014492753621,0.12832173913043476,0.135145883945794,0.8782608695652175,23.4,0.78,12.068144798278809
